标题,时间,sentiment
申万宏源：AI的“iPhone 4”时刻已出现 硬件和应用主题行情正当时,2025-03-11,0.9584988010440947
专访全国人大代表、清华大学田轩：逐步提升IPO节奏、强化退市引导 打造股市“健康牛”生态,2025-03-11,0.9999641327331251
银河证券：A股市场迎来结构性估值重塑机会,2025-03-11,0.9898692259184715
北京商报：A股稳定发展既要长钱也要短钱,2025-03-11,0.210073570054496
十大券商看后市｜A股风险偏好或持续回升 科技成长仍是主线,2025-03-10,0.9900148844088179
华泰证券：短期视角对港股不宜悲观 中长期仍坚定看好中国资产重估行情演绎,2025-03-10,0.9991117547331525
中信建投策略陈果：关注景气与价格改善方向,2025-03-10,0.9946097041253713
北京商报侃股：大比例现金分红提升A股韧性,2025-03-10,0.2913622995299876
皮海洲：以平常心看待A股融资余额再次突破1.9万亿,2025-03-10,0.9984436171450154
全国政协委员、国泰君安国际董事会主席阎峰：当前是全球投资者增配中国资产黄金窗口,2025-03-10,0.9977470634409232
申万宏源：科技强市场才强 全面支持科技创新成为各部委共识,2025-03-09,0.9989078255118984
兴业证券：20张图精析本轮港股行情 南下资金或是本轮做多港股的主力资金,2025-03-09,0.9954052705539462
华金证券：三月延续震荡偏强 建议均衡配置科技和顺周期等行业,2025-03-09,0.9998942793585875
海通策略：近期外资正阶段性回流中国市场 以短线灵活型为主,2025-03-09,0.9941594746391605
国盛证券：AI Agent时代算力消耗陡增 看好算力基建机遇,2025-03-09,0.9897704948005585
鹏华闫思倩：我们正经历从平凡到非凡 机器人是新的国之重器,2025-03-08,0.9974464723933787
全国人大代表、河南证监局局长牛雪峰：建议强化数据归集共享 健全上市公司异常线索发现机制,2025-03-08,0.9557794449103157
全国政协委员、申万宏源证券研究所首席经济学家杨成长：五方面完善配套措施 推动中长期资金入市,2025-03-08,0.9999437968924929
瑞银：预计今年沪深300指数成分股每股盈利增长6% 指数升幅或将更高,2025-03-07,0.993560214651128
北京商报侃股：上市公司易主也是一种优化升级,2025-03-07,0.8193312844398465
关于未来投资机会 千亿私募景林发声,2025-03-07,0.9997443430322351
高盛五大宏观情景模拟：当前局面最有利中国股票？,2025-03-06,0.9995632008242253
中信证券：预计市场信心修复将从科技领域逐步扩散到经济领域,2025-03-06,0.9999633771077951
李大霄：多项利好消息释放 或推动股市持续走好,2025-03-06,0.9971502403772292
中信建投：夯实“重估牛”基础 科技主线更加明晰,2025-03-06,0.9816537632589771
北京商报侃股：围绕主业的并购重组是大趋势,2025-03-06,0.2593072123899459
中金公司：A股市场已过重山 底部大概率已经出现,2025-03-06,0.030392526639330897
长城证券汪毅：看好中国资产与黄金的投资机会,2025-03-06,0.9929738686268988
中金公司：A股全年市场整体表现有望好于2013年,2025-03-05,0.8362685548676436
北京商报侃股：绩优股的安全边际在调整期更为突出,2025-03-05,0.3961821935656641
杨德龙：当前人形机器人板块总体市值仍较小 未来增长空间巨大,2025-03-05,0.99613158232815
机构策略：“两会”的政策预期或能给予A股较好支撑,2025-03-04,0.9509406726156201
中金公司：“固收+港股”策略正当其时,2025-03-04,0.7581190186681821
北京商报侃股：估值提升计划要让股民有获得感,2025-03-04,0.8167764936572658
杨德龙：这轮科技牛行情有深刻逻辑 坚定信念才能把握机会,2025-03-04,0.9999804684014708
华尔街展望美股前景：防御将成主流 过往赢家被抛弃,2025-03-03,0.9935623732349983
银河证券：A股市场有望呈现出震荡上行特征,2025-03-03,0.9989408527239275
华泰证券A股策略：以低位景气改善品种应对扰动,2025-03-03,0.9193330653052914
中信建投：外部扰动稳定之后 春季行情依然有望继续,2025-03-03,0.9959468051068768
中金公司：短期AH价差仍有收窄空间 港股上涨弹性有望好于A股,2025-03-03,0.06592908505473027
七位公募首席前瞻两会：内需驱动可持续增长 科技与消费或成投资主线,2025-03-03,0.9987373056730627
摩根士丹利中国首席经济学家邢自强：科创信心回暖 中国资产迎重估潮,2025-03-03,0.9905772721032404
融通基金李进：聚焦“人工智能+”投资机会,2025-03-03,0.944967716769618
信达证券：指数向上突破的迹象出现 逐渐开启牛市第二波上涨,2025-03-02,0.9241842867044283
兴业证券：如何看近期科技板块的调整以及市场风格变化？,2025-03-02,0.9385879009998352
国金证券：“波动率”再起、成长分化 增长型红利价值凸显,2025-03-02,0.9989629266859594
中泰证券：本轮科技行情是否会复刻2015年科技牛市？,2025-03-02,0.9953998404150051
华安证券：本轮成长科技行情基本结束 行业机会重回轮动,2025-03-02,0.9987634184752269
华金证券：春季行情未完 进入后半段 科技仍是主线,2025-03-02,0.9907211528073359
长城证券：科技引领“中国资产”价值重估进度加快,2025-03-02,0.9174705380313297
申万宏源：短期顺势调整 中期趋势不改,2025-03-02,0.7230592126968404
中原证券：A股宽幅震荡 建议投资者把握结构性机会,2025-03-02,0.9895411176851163
光大证券：积极把握春季行情 关注科技成长及消费两条主线,2025-03-02,0.9996673981413106
光大证券：C919步入快速交付期 国产大飞机万亿赛道崛起,2025-03-02,0.9957616443054268
国泰君安证券：“转型牛”主线 科技创新引领资本市场新周期,2025-03-01,0.9999880763029922
桂浩明：为什么外资投行争相调高中国股票评级？,2025-03-01,0.8844539253560783
证券日报：A股公司估值提升计划呈现三大亮点,2025-03-01,0.866130157164279
中信建投：关注两会政策 科技仍有望是主线,2025-02-28,0.9971789928825484
险资机构2025年资产配置策略：债券仍是首选 对A股市场持乐观态度,2025-02-28,0.999996559765796
东吴证券：目前市场风格可能仍以成长类+制造类为主,2025-02-27,0.9993529601258462
北京商报侃股：IPO排队数量下降说明A股更成熟,2025-02-27,0.14504621410920926
摩根资产管理杜猛：中国科技价值重估或刚开始,2025-02-26,0.8787877957504846
皮海洲：督促长期破净公司早日出台估值提升计划,2025-02-26,0.130963168151652
北京商报侃股：部分机构投资者追涨杀跌有失专业性,2025-02-26,0.7221258421313039
北京商报侃股：A股高成交量有多重利好效应,2025-02-24,0.25853833083921185
皮海洲：外资机构唱多中国股市 A股上涨何以小心翼翼,2025-02-24,0.3560209647864734
光大证券：积极把握春季行情 关注科技及消费两条主线,2025-02-24,0.9926655145642834
桂浩明：不乏连续大涨的品种 香港“红底股”因何光彩夺目,2025-02-22,0.8309348001460194
国泰君安：支撑“转型牛”的一个条件两大逻辑,2025-02-22,0.9898496219910774
非ST公司一元退市机制优化与投资者权益保护路径探析,2025-02-22,0.9633380104887688
中信证券：A股盈利仍处于底部阶段 三条线索追踪结构亮点,2025-02-21,0.9741353914626302
汇添富稳健收益部基金经理胡奕：当前“红利+”仍具备投资价值,2025-02-20,0.807883534593607
杨德龙：2025年A股和港股投资机会有望增多,2025-02-19,0.670255542121509
杨德龙：A股和港股将迎来牛市第二波行情,2025-02-18,0.8866521387432404
华泰证券：科技引领下中国资产重估有望迈入新阶段,2025-02-18,0.8275332089614781
北京商报侃股：大型银行股持续走强是大势所趋,2025-02-18,0.19095481635493294
北京商报侃股：港股持续走强利好A股估值抬升,2025-02-17,0.2964346375435858
十大券商看后市｜A股当前仍处春季躁动 积极把握做多窗口期,2025-02-17,0.5914923918528271
华泰证券：科技成长板块后续仍有热点扩散、内部高低切换的机会,2025-02-17,0.9559990546268433
中金公司：部分有望受益于AI应用的行业当前估值性价比更高,2025-02-17,0.9944379021147595
中金：谁是港股本轮上涨买入的主力？,2025-02-16,0.30728991775283365
杨德龙：外资机构积极看多做多中国股票 牛市第二波行情初具雏形,2025-02-15,0.9967243966172281
中金公司：DeepSeek崛起叠加美元流动性趋松 触发中美资产重估,2025-02-14,0.9575995965966541
富国银行：预计标普500指数年底可能达到6600点,2025-02-14,0.307709947472641
杨德龙：蛇年开年股市小步慢走 有望酝酿牛市第二波行情,2025-02-14,0.9984686666373896
熊锦秋：从四方面进一步完善上市公司回购规则,2025-02-14,0.8498294808934775
中信证券：积极把握AI板块近期回调带来的投资机会,2025-02-13,0.992956665426363
华泰证券：三大维度筛选供给侧反转机会,2025-02-12,0.10997157466038865
外资轮番唱多做多中国股票 高盛预计MSCI中国指数今年将上涨14%,2025-02-12,0.9518348012413103
汇丰：DeepSeek提振信心 AI板块有望成一季度A股热点,2025-02-11,0.22138682113724173
杨德龙：外资投行纷纷看多中国股票 后市有望量价齐升,2025-02-11,0.9717542853312213
北京商报侃股：投资者如何应对量化+AI,2025-02-10,0.9950834922974396
中信建投策略陈果：跨年行情正如期展开 留意结构交易过热,2025-02-10,0.9965239332422192
华金证券：短期继续聚焦科技成长 关注大金融和部分消费等行业,2025-02-09,0.9998976235695303
中信建投：市场迎来阶段性反弹 春季躁动行情值得期待,2025-02-08,0.9871012054277883
桂浩明：从战略投资角度看中长期资金入市,2025-02-08,0.9992713212962407
又一外资唱多中国！美银：美股全球主导地位衰落 建议做多中国股票,2025-02-08,0.9995959145717133
民生证券：科技龙头股创新高背后隐藏泡沫风险,2025-02-07,0.8119011184101326
北京商报侃股：压岁钱买沪深300ETF或是不错选择,2025-02-07,0.9577193306356568
中信建投：建议积极把握AI应用、机器人、新兴消费等快速成长方向,2025-02-06,0.9990995460044382
中信证券：市场风格有望实现由极致高波向低波的转换,2025-02-06,0.9919625269582613
北京商报侃股：科技股的投资价值不能只看业绩,2025-02-06,0.8749360032431358
玄元投资杨夏：今年可能先涨流动性后涨基本面 关注三大投资机会,2025-02-06,0.9991680054249477
皮海洲：中长期资金入市利好白马蓝筹股,2025-02-05,0.9760681271144679
国金证券：重视“春季躁动” 偏向中小盘科技成长,2025-02-05,0.9872642024883179
万家基金莫海波：成长类资产估值修复空间更大,2025-02-05,0.9980019048182124
重阳投资董事长王庆：A股价值底已经非常坚实,2025-02-05,0.997834264787521
华安合鑫董事长袁巍：“高股东回报”特质股票配置价值凸显,2025-02-05,0.9999791006200754
华创证券董广阳：蛇年消费板块行情大概率好过去年,2025-02-02,0.574130214332403
施罗德基金安昀：中国市场估值有吸引力 关注三类投资机会,2025-02-02,0.9990278793896366
预见金蛇｜施罗德基金安昀：科技和消费将成为2025年市场主要驱动力,2025-02-02,0.9369088646571326
首席展望丨中信建投陈果：蛇年A股有望趋势向上 AI+是配置主线,2025-02-01,0.995670180885921
申万宏源王胜：汇率或是蛇年A股市场的核心变量,2025-01-31,0.8435444388621118
贝莱德神玉飞：市场仍将保持成长风格 关注两大政策主线,2025-01-31,0.9995173854255563
方正证券：前瞻布局的头部车企2025年有望尽享海外红利,2025-01-30,0.19819047252760102
摩根士丹利徐然：看好银行板块 高收益股息率标的是首选,2025-01-29,0.7526495961016448
摩根资产管理杜猛：A股优质公司或有“戴维斯双击”机会 主动管理大有可为,2025-01-29,0.8198550806824142
中金：预计2025年海内外科技厂商AIDC投建狂潮延续,2025-01-27,0.730415381083893
华宝基金钟奇：寻找景气度高成长性好行业,2025-01-27,0.9982216414174043
海通策略：春季行情有望徐徐展开，市场步入基本面驱动新阶段,2025-01-26,0.9999956525236022
国金证券：AI数据中心发展驱动核电复兴 模块化小堆迎来新机遇,2025-01-24,0.8920187430362597
银河证券：中长期资金入市加快 看好公用事业配置价值,2025-01-24,0.955628736296326
李大霄：解决中长期资金入市的痛点堵点 中国股市有希望了！,2025-01-23,0.9966919258362389
全球最大主权财富基金CEO建议：卖美国科技股、买中国资产,2025-01-23,0.9850376268277479
外资公募展望中国市场：股市韧性足债市稳健性高,2025-01-23,0.9984057817107457
摩根大通CEO：美股资产价格有点虚高,2025-01-23,0.8138568072867485
复盘2024 展望2025！中欧基金周蔚文、葛兰、蓝小康、刘伟伟四季报最新观点出炉,2025-01-22,0.9298542698860517
“价值派”基金经理姜诚：对长期判断更加乐观,2025-01-21,0.9411549871174287
国金证券：“春季躁动”行情或进入全面加速期 结构上重视“科技牛”,2025-01-21,0.9505642060698558
国泰君安：市场有望逐步企稳 关注前期表现、估值与景气的行业,2025-01-21,0.9999332416021356
十大券商看后市：A股春季攻势或将提前 审慎参与超短线情绪博弈,2025-01-20,0.9528497426078858
中信建投：继续积极布局 回调就是良机,2025-01-20,0.8266981528468542
国海富兰克林基金徐成：港股仍有较大估值修复空间,2025-01-20,0.9419848434456978
中信建投：AI眼镜成本曲线大幅下探 2025年有望成为其爆发元年,2025-01-19,0.8782177456075311
贝莱德重磅发声：A股市场2025年有更多投资机会,2025-01-18,0.997139948457779
外资巨头展望2025年中国市场：看好宏观经济韧性 股债行情均可期,2025-01-18,0.9323791850666037
北京商报侃股：频繁买卖是散户收益不佳的主要原因,2025-01-17,0.397399125487913
险资如何看2025年A股？提高权益投资比例？最新调查来了,2025-01-15,0.8174498125061097
瑞银证券中国策略分析师孟磊：A股有利于“耐心资本”投入 看好科技板块,2025-01-14,0.9999780341350817
海通期货李井伟：对稳住楼市股市的几点思考,2025-01-14,0.9974044060129639
华泰证券：春节后资金面有望迎来改善窗口期 关注机器人等概念,2025-01-13,0.8735298105513519
西部利得基金杜朋哲：消费红利策略适合当下市场,2025-01-13,0.998932359331131
太平基金张子权：政策市场双重支持 红利资产价值凸显,2025-01-13,0.9958873866946608
海通策略：历史上春季行情年年有 2025年春季行情或正孕育中,2025-01-12,0.9999572773015147
桂浩明：个人养老金很难成为A股市场的重要资金来源,2025-01-11,0.9480649397471614
贺宛男：央企和国企的并购交易距做优做强还有距离,2025-01-11,0.9750959693045638
中国银河证券：2025年维持“哑铃型”配置策略 重点关注AI应用,2025-01-09,0.9992522632220966
北京商报侃股：“A字杀”的股票多数偏投机,2025-01-07,0.6068190662487793
中信证券：2025年垄断型红利的可持续兑现能力更强,2025-01-07,0.9830388333842448
皮海洲：把严打编造传播股市谣言行为落到实处,2025-01-07,0.9961972913088221
鑫元基金李彪：消费、新质生产力将是投资主线,2025-01-07,0.9302479427857758
郭施亮：尽快落实散户允许T+0 机构实施T+1,2025-01-06,0.17288468590094497
段永平重回浙大畅谈投资：不怕错过机会 最重要是不踩雷 黄峥不是一个趋利的人,2025-01-06,0.9606590349655424
十大券商看后市：短期回调是布局机会 春节前股指有望企稳,2025-01-06,0.9017655099168512
中信建投：中期牛市不变 短期回调是机遇,2025-01-06,0.9927651742649588
中泰证券：当前时点可逢低布局低位央国企+硬科技产业链,2025-01-06,0.09440172595669971
天风证券：如何看待A股开年调整？,2025-01-06,0.23564800455737345
超六成私募看多2025年市场 科技与内需板块受青睐,2025-01-06,0.9996146280471988
华泰证券：中国PFA市场有望较快放量 预计潜在规模超百亿元,2025-01-05,0.3823751565464011
杨德龙：A股开年的调整并不会改变全年上行趋势,2025-01-04,0.2296187828137055
华泰证券：互换便利机制灵活调整 有望为资本市场持续带来“活水”,2025-01-04,0.9915117867787546
去年12月份私募机构合计调研逾1600次 半导体行业成热点,2025-01-04,0.9930359824253225
证券时报头条评论：引导上市公司破产重整形成多赢局面,2025-01-03,0.822586697125198
莫泰山：有理由期待2025年A股延续温和上涨 权益资产将更具性价比,2025-01-02,0.9702787416014358
景林“内部信”曝光：积极寻找中国经济再增长过程中受益的企业,2025-01-02,0.9999573132649283
千亿私募最新发声：2025年关注这个选股“金标准”、看好这些方向,2025-01-02,0.9947678382932373
中信建投：关注潜在政策发力受益方向 AI+是中期产业主线,2025-01-02,0.9998747795798195
兴业证券张忆东：2025年A股或将迎来主升浪行情 把握两大投资主线,2025-01-02,0.9692650729534539
宝盈基金杨思亮：把握三大发展机遇 消费将成投资主线,2025-01-02,0.9993651859655625
信达澳亚基金：盈利和估值修复共振 科技为“矛”红利做“盾”,2025-01-02,0.6149404049413106
嘉实基金：保持耐心和信心 关注先进制造红利资产,2025-01-02,0.9997096537249489
北京商报侃股：银行股领涨的市场意义,2025-01-01,0.19299905449505117
华泰策略：A股或进入存量博弈窗口期,2025-01-01,0.32512791791423545
皮海洲：央行报告抓住了中国股市退市环节的要害问题,2025-01-01,0.9481904040149627
中信建投：市场整体预计仍以震荡为主 风格预计逐步回归业绩大票,2024-12-31,0.9924005647106166
开源证券：红利资产占优背后的驱动因素与未来展望,2024-12-30,0.9979906984004062
华金证券：明年1月A股或延续震荡偏强 中小盘成长占优,2024-12-30,0.9961122848690945
中信建投：明年一季度有望适时降准降息 预计市场将在明年初延续中枢震荡上行趋势,2024-12-30,0.9998875484137517
皮海洲：“退市名单”何以让A股市场谈虎色变,2024-12-30,0.880348089833343
海通策略：2025年A股全年净增量资金或达2万亿元,2024-12-29,0.7086608240647121
桂浩明：稳住股市背后蕴含着三重含义,2024-12-28,0.9844797274153678
应健中：2025年是股市投资大年,2024-12-28,0.9778610931343921
银河证券：2025年A股市场有望呈现出螺旋式震荡上行特征,2024-12-27,0.9998712555315119
中信证券：低利率环境下红利资产仍有配置空间,2024-12-26,0.9966960191214079
中信建投：小盘和贝塔风格拥挤 零售赛道拥挤提升,2024-12-26,0.9945356666617491
华泰证券：退市新规落地或加速市场“新陈代谢”,2024-12-26,0.9851287711706878
杨德龙：2025年A股和港股有望延续牛市走势,2024-12-26,0.9584916061423024
皮海洲：夯实“看门人”责任 对保荐机构的惩处不能挠痒痒,2024-12-25,0.16564959761203102
富达国际：当前风险收益比很“划算” 是参与A股好时机,2024-12-25,0.9948400825749227
北京商报：涨停股数量变少说明市场更理性,2024-12-24,0.31370618975160813
中金公司：中期A股红利资产可能更多体现为阶段性、结构性机会,2024-12-23,0.9965657366120646
国泰君安：跨年反弹行情仍会延续 重点不在股指而个股将活跃,2024-12-23,0.9997770062736445
海通证券：市场震荡休整中阶段性关注红利 中期科技制造及中高端制造是主线,2024-12-22,0.9999946561451789
海通证券：AI ASIC有望迎来爆发式增长 关注产业链投资机会,2024-12-22,0.9923166875068729
桂浩明：ETF火热 指数化投资渐成气候 是投资理性的一种回归,2024-12-21,0.9997005128069
贺宛男：央企高度重视控股上市公司破净问题释放什么信号,2024-12-21,0.33740764772716125
皮海洲：“稳住股市”给明年的A股市场吃了定心丸,2024-12-20,0.9994958826249813
皮海洲：鼓励多次分红应消除红利税征收的不利影响,2024-12-19,0.6786320208084122
中信建投：国资委央企市值管理意见出台 行业估值回归可期,2024-12-19,0.8790792024178711
申万宏源：2025年核心资产或迎困境反转,2024-12-18,0.9940926179515687
华泰证券：短期市场或仍维持“上有顶、下有底”的状态,2024-12-16,0.9593852400417409
中信建投陈果：淡定面对波动 跨年行情继续,2024-12-16,0.9983256347858593
农银汇理基金经理张燕：科技成长有望继续引领“春季躁动”,2024-12-16,0.9554418835210448
瑞士百达郭韶瑜：人工智能仍是全球市场长期投资主线,2024-12-16,0.9937106427911615
海通证券：拉长时间来看A股被动资金定价权望持续提升,2024-12-15,0.9879056057997956
华创证券：看好2025年交运行业 积极配置弹性方向,2024-12-15,0.9372200536501861
跨年行情开启？六位基金经理重磅解读来了,2024-12-15,0.9767881626464961
最看好信息技术的投资机会！摩根大通展望2025年中国股市：价值或优于成长,2024-12-14,0.9999729135230913
中信建投：随着政策刺激力度加码 顺周期餐饮链有望率先受益于预期改善,2024-12-13,0.9794910022318893
中金：后续一段时间仍将是政策落地的窗口期 有助于提振投资者信心,2024-12-13,0.9992841734011674
皮海洲：券商并购重组缘何少了些许市场掌声？,2024-12-13,0.765997911571572
经济日报：“稳住股市”有力引导稳定预期,2024-12-12,0.9972653049572352
皮海洲：上市公司董监高短线交易所得应统一上缴国库,2024-12-12,0.9212679423971221
国盛证券熊园：对政策、对市场可以更乐观,2024-12-12,0.9772460859576072
国泰君安：A股有望走出跨年行情,2024-12-12,0.9833855735959499
摩根大通展望2025年股市：价值优于成长 信息技术主题最被看好,2024-12-12,0.9993269346116338
北京商报：货币政策适度宽松利好A股估值提升,2024-12-11,0.9925170443856762
曹中铭：股市炒玄学凸显三大问题,2024-12-11,0.9833376463285111
政策组合拳提振信心 公募：中国资产将迎来估值再提升,2024-12-11,0.9292715810783898
清华大学国家金融研究院院长田轩：解决股市痼疾 迎接健康牛,2024-12-10,0.9997812307018287
中金公司：把握岁末年初行情 A股大底形成中,2024-12-10,0.9925065080104488
中金：A股市场未来面临从估值驱动到盈利驱动的切换,2024-12-09,0.9713896819959928
国泰君安：积极备战跨年反弹,2024-12-09,0.9447117384944899
中信证券：减肥药产业趋势有望进一步明确 有望形成跨年度主题行情,2024-12-07,0.9903684550745792
申万宏源钱启敏：热点“避实就虚” 后市将回归基本面,2024-12-07,0.9610412064930777
贺宛男：临近年底 资金更加关注业绩,2024-12-07,0.9987167863882952
浙江大学研究员：退市赔偿应以非ST股“面退”为抓手,2024-12-07,0.0034767670081474744
皮海洲：玄学炒股无厘头 炒作“蛇”概念当心被“蛇”咬,2024-12-06,0.3365191940692096
专家展望2025年投资形势：中国经济韧性十足 A股市场蕴藏多重机会,2024-12-05,0.9999950923706187
股市不是玄学 玄学炒作属于恶意投机,2024-12-04,0.733541824950498
中原证券发布2025年A股市场投资策略：行之有道 稳中有进,2024-12-04,0.9254567341751665
中信证券：并购重组支持政策持续加码 需要关注两大方向,2024-12-04,0.9838343076156685
熊锦秋：应强化对违规入股和突击入股的穿透监管,2024-12-03,0.9237614821791897
十大券商看后市：A股有望再迎修复窗口 跨年行情值得期待,2024-12-02,0.8766270095762931
西南证券叶凡：稳增长政策有望加码 新一轮行情或开启,2024-12-02,0.9968606016451186
银河证券：“跨年行情”值得期待 市场有望震荡向上,2024-12-02,0.9854352536402659
中泰证券：短期对市场维持偏乐观 关注科技与顺周期,2024-12-02,0.9981354454112018
国信证券：明年并购重组题材仍有演进空间,2024-11-30,0.9718343165291933
九圜青泉科技首席投资官：红利指数20年历史的投资启示,2024-11-30,0.9997926255755994
桂浩明：市场有望呈现震荡上行格局,2024-11-30,0.8783540429979836
安信基金张明：长期看好注重股东回报的绩优公司,2024-11-29,0.9886089423565726
中金分析师刘刚：港股市场“密云不雨” 需要催化剂实现反弹,2024-11-29,0.998432104034967
中信建投陈果：牛市起点往往来自政策催化 明年是从流动性牛到基本面牛,2024-11-29,0.9998875370185493
瑞银证券：看好成长风格跑赢价值风格,2024-11-29,0.9994604373163778
对话中信建投陈果：看好2025年A股从流动性牛迈向基本面牛,2024-11-28,0.9049062545406295
银河证券：明年A股将螺旋上行 新动能估值聚势提升 投资者应抓“以我为主”窗口,2024-11-28,0.9830170683017414
光大证券：接下来市场有望迎来一波反弹修复行情,2024-11-28,0.3483379410665497
皮海洲：涨幅1917％ 爆炒新股潜在巨大的投资风险,2024-11-28,0.6900330793373737
国投证券：岁末年初爆发行情的可能性较大,2024-11-27,0.9772060775167728
中信建投证券：A股市场有望成为全球资金配置的重要场所,2024-11-27,0.9992771807063704
中信建投：2025年牛市有望从“流动性牛”逐步迈向“基本面牛”,2024-11-26,0.9965028118208272
中金公司：个人投资者入市下增量资金驱动对小盘风格偏利好,2024-11-26,0.9945956487464007
皮海洲：让并购重组告别“高承诺、高估值”定价模式,2024-11-26,0.4823419353314822
熊锦秋：新三板市场操纵案可推动将罚没款补偿投资者,2024-11-26,0.9988962766769787
海通策略：中期行情望由基本面驱动 科技制造及中高端制造或是中期主线,2024-11-24,0.9999986858784241
光大证券：近期权益市场波动较大 前期涨幅较大的行业和板块有一定的回调压力,2024-11-24,0.9805393492889649
华安证券：新的上涨契机等待宏观政策或经济短期改善预期再起,2024-11-23,0.8762804387110441
陈嘉禾：投资需要自己做一把尺 将市场波动视为过眼云烟,2024-11-23,0.9991344521042798
贺宛男：看到经济的转折点 长线资金才会源源而至,2024-11-23,0.9812075625351238
皮海洲：允许下跌也要允许上涨 对股票上涨要多一份包容心,2024-11-22,0.7135062289893904
中欧基金宋巍巍：从全球角度看 A股核心资产仍被低估,2024-11-22,0.9978740043527854
海通证券：基本面终将改善 “心动”之后迎“幡动”,2024-11-22,0.974272328574146
证券日报：上市公司现金分红要答好“三张问卷”,2024-11-22,0.44995207945830307
高盛：继续高配A股市场 内资对中国股票的定价权会越来越高,2024-11-21,0.9995870115905642
皮海洲：A股市场波动不能怪罪于散户,2024-11-21,0.6292304331576581
A股牛市结束了吗？中信建投陈果：资金犹豫怀疑 才有震荡慢牛,2024-11-19,0.9945035535322679
光大保德信基金张芸：杠铃策略或是当下A股所处阶段的较好选择,2024-11-19,0.9649697325955451
皮海洲：央国企上市公司将成为市值管理的主力军,2024-11-19,0.1576954035050705
